dataset,attack_raw,videos,assigned_attack_macro,proposed_attack_macro,proposal_basis,status,native_full_track
casia_fasd,3,50,other_spoof,print,"published CASIA-FASD protocol: codes 3,4 = warped printed photo (external); visual spot check consistent",PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,4,50,other_spoof,print,"published CASIA-FASD protocol: codes 3,4 = warped printed photo (external)",PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,5,50,other_spoof,print,"published CASIA-FASD protocol: codes 5,6 = cut-eye printed photo (external); visual spot check shows cut eye holes",PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,6,50,other_spoof,print,"published CASIA-FASD protocol: codes 5,6 = cut-eye printed photo (external)",PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,7,50,other_spoof,replay,"published CASIA-FASD protocol: codes 7,8 = video replay (external)",PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,8,50,other_spoof,replay,"published CASIA-FASD protocol: codes 7,8 = video replay (external)",PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,HR_1,50,other_spoof,,"LABEL CONFLICT: published protocol lists HR_1 as genuine high-resolution video, but local copy stores it under spoof/; visual spot check looks live. Owner must decide the label before any mapping.",PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,HR_2,50,other_spoof,print,published CASIA-FASD protocol: HR_2 = high-res warped printed photo (external),PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,HR_3,50,other_spoof,print,published CASIA-FASD protocol: HR_3 = high-res cut-eye photo (external); visual spot check shows cut eye holes,PENDING_OWNER_APPROVAL,BLOCKED
casia_fasd,HR_4,50,other_spoof,replay,published CASIA-FASD protocol: HR_4 = high-res video replay (external),PENDING_OWNER_APPROVAL,BLOCKED
siwmv2,Paper,135,other_spoof,print,"the only local folder without a literal spec concept match; spec concept 'SiW-Mv2 print' is the only unmatched concept (14 folders <-> 14 concepts). Name 'Paper' is ambiguous with 'paper mask', so not applied without owner approval.",PENDING_OWNER_APPROVAL,BLOCKED
